Intensity,BLC,Threshold,Stimulus,Percentage
1.0000,3.0000,1.0000,X--,0.8100
1.0000,3.5000,1.0000,A--,0.8800
1.0000,3.5000,1.0000,B--,0.7300
1.0000,3.5000,1.0000,X--,0.8600
1.0000,4.0000,1.0000,A--,0.9000
1.0000,4.0000,1.0000,B--,0.7100
1.0000,4.0000,1.0000,X--,0.7900
1.0000,4.5000,1.0000,A--,0.7800
1.0000,4.5000,1.0000,B--,0.6500
1.0000,4.5000,1.0000,X--,0.6100
1.0000,-0.5000,1.0000,A--,0.9000
1.0000,-0.5000,1.0000,B--,0.7300
1.0000,-0.5000,1.0000,X--,0.8200
1.0000,0.0000,1.0000,A--,0.9000
1.0000,0.0000,1.0000,B--,0.7300
1.0000,0.0000,1.0000,X--,0.7400
1.0000,0.5000,1.0000,A--,0.9400
1.0000,0.5000,1.0000,B--,0.7500
1.0000,0.5000,1.0000,X--,0.7800
1.0000,1.0000,1.0000,A--,0.8600
1.0000,1.0000,1.0000,B--,0.7300
1.0000,1.0000,1.0000,X--,0.8200
1.0000,1.5000,1.0000,A--,0.9000
1.0000,1.5000,1.0000,B--,0.7600
1.0000,1.5000,1.0000,X--,0.8400
1.0000,2.0000,1.0000,A--,0.9100
1.0000,2.0000,1.0000,B--,0.7400
1.0000,2.0000,1.0000,X--,0.8700
1.0000,2.5000,1.0000,A--,0.8700
1.0000,2.5000,1.0000,B--,0.7100
1.0000,2.5000,1.0000,X--,0.8100
1.0000,3.0000,1.0000,A--,0.8800
1.0000,3.0000,1.0000,B--,0.7500
1.0000,3.0000,1.0000,X--,0.8000
1.0000,3.5000,1.0000,A--,0.9400
1.0000,3.5000,1.0000,B--,0.7500
1.0000,3.5000,1.0000,X--,0.8100
1.0000,4.0000,1.0000,A--,0.9000
1.0000,4.0000,1.0000,B--,0.6800
1.0000,4.0000,1.0000,X--,0.7100
1.0000,4.5000,1.0000,A--,0.8300
1.0000,4.5000,1.0000,B--,0.4700
1.0000,4.5000,1.0000,X--,0.5700
1.0000,-0.5000,1.0000,A--,0.9100
1.0000,-0.5000,1.0000,B--,0.6900
1.0000,-0.5000,1.0000,X--,0.8400
1.0000,0.0000,1.0000,A--,0.8900
1.0000,0.0000,1.0000,B--,0.7800
1.0000,0.0000,1.0000,X--,0.7400
1.0000,0.5000,1.0000,A--,0.8800
1.0000,0.5000,1.0000,B--,0.7200
1.0000,0.5000,1.0000,X--,0.8100
1.0000,1.0000,1.0000,A--,0.9500
1.0000,1.0000,1.0000,B--,0.7500
1.0000,1.0000,1.0000,X--,0.8400
1.0000,1.5000,1.0000,A--,0.8900
1.0000,1.5000,1.0000,B--,0.6800
1.0000,1.5000,1.0000,X--,0.8500
1.0000,2.0000,1.0000,A--,0.8300
1.0000,2.0000,1.0000,B--,0.7200
1.0000,2.0000,1.0000,X--,0.7900
1.0000,2.5000,1.0000,A--,0.8800
1.0000,2.5000,1.0000,B--,0.6200
1.0000,2.5000,1.0000,X--,0.8300
1.0000,3.0000,1.0000,A--,0.8400
1.0000,3.0000,1.0000,B--,0.7100
1.0000,3.0000,1.0000,X--,0.8300
1.0000,3.5000,1.0000,A--,0.8700
1.0000,3.5000,1.0000,B--,0.7300
1.0000,3.5000,1.0000,X--,0.8400
1.0000,4.0000,1.0000,A--,0.9300
1.0000,4.0000,1.0000,B--,0.7300
1.0000,4.0000,1.0000,X--,0.7400
1.0000,4.5000,1.0000,A--,0.8400
1.0000,4.5000,1.0000,B--,0.4500
1.0000,4.5000,1.0000,X--,0.5300
1.0000,-0.5000,1.0000,A--,0.9200
1.0000,-0.5000,1.0000,B--,0.7300
1.0000,-0.5000,1.0000,X--,0.8300
1.0000,0.0000,1.0000,A--,0.9400
1.0000,0.0000,1.0000,B--,0.7600
1.0000,0.0000,1.0000,X--,0.8100
1.0000,0.5000,1.0000,A--,0.9000
1.0000,0.5000,1.0000,B--,0.8100
1.0000,0.5000,1.0000,X--,0.7800
1.0000,1.0000,1.0000,A--,0.8400
1.0000,1.0000,1.0000,B--,0.7900
1.0000,1.0000,1.0000,X--,0.8500
1.0000,1.5000,1.0000,A--,0.8800
1.0000,1.5000,1.0000,B--,0.7900
1.0000,1.5000,1.0000,X--,0.8200
1.0000,2.0000,1.0000,A--,0.9200
1.0000,2.0000,1.0000,B--,0.7500
1.0000,2.0000,1.0000,X--,0.8200
1.0000,2.5000,1.0000,A--,0.9200
1.0000,2.5000,1.0000,B--,0.7300
1.0000,2.5000,1.0000,X--,0.8000
1.0000,3.0000,1.0000,A--,0.9000
1.0000,3.0000,1.0000,B--,0.7200
1.0000,3.0000,1.0000,X--,0.8200
1.0000,3.5000,1.0000,A--,0.9300
1.0000,3.5000,1.0000,B--,0.7000
1.0000,3.5000,1.0000,X--,0.8400
1.0000,4.0000,1.0000,A--,0.8400
1.0000,4.0000,1.0000,B--,0.7200
1.0000,4.0000,1.0000,X--,0.7900
1.0000,4.5000,1.0000,A--,0.8300
1.0000,4.5000,1.0000,B--,0.6400
1.0000,4.5000,1.0000,X--,0.5900
