Intensity,BLC,Threshold,Stimulus,Percentage
1.0000,1.5000,1.0000,B--,0.4700
1.0000,1.5000,1.0000,X--,0.5400
1.0000,2.0000,1.0000,A--,0.6800
1.0000,2.0000,1.0000,B--,0.5100
1.0000,2.0000,1.0000,X--,0.5100
1.0000,2.5000,1.0000,A--,0.6300
1.0000,2.5000,1.0000,B--,0.4300
1.0000,2.5000,1.0000,X--,0.5100
1.0000,3.0000,1.0000,A--,0.5800
1.0000,3.0000,1.0000,B--,0.5100
1.0000,3.0000,1.0000,X--,0.4700
1.0000,3.5000,1.0000,A--,0.5800
1.0000,3.5000,1.0000,B--,0.3500
1.0000,3.5000,1.0000,X--,0.4700
1.0000,4.0000,1.0000,A--,0.3700
1.0000,4.0000,1.0000,B--,0.2200
1.0000,4.0000,1.0000,X--,0.2300
1.0000,4.5000,1.0000,A--,0.2100
1.0000,4.5000,1.0000,B--,0.1100
1.0000,4.5000,1.0000,X--,0.1200
1.0000,5.0000,1.0000,A--,0.0800
1.0000,5.0000,1.0000,B--,0.0600
1.0000,5.0000,1.0000,X--,0.0500
1.0000,6.0000,1.0000,A--,0.0400
1.0000,6.0000,1.0000,B--,0.0000
1.0000,6.0000,1.0000,X--,0.0100
1.0000,6.5000,1.0000,A--,0.0000
1.0000,6.5000,1.0000,B--,0.0100
1.0000,6.5000,1.0000,X--,0.0100
1.0000,0.5000,1.0000,A--,0.6300
1.0000,0.5000,1.0000,B--,0.4500
1.0000,0.5000,1.0000,X--,0.5100
1.0000,1.0000,1.0000,A--,0.6100
1.0000,1.0000,1.0000,B--,0.4600
1.0000,1.0000,1.0000,X--,0.5400
1.0000,1.5000,1.0000,A--,0.6100
1.0000,1.5000,1.0000,B--,0.5400
1.0000,1.5000,1.0000,X--,0.5300
1.0000,2.0000,1.0000,A--,0.6000
1.0000,2.0000,1.0000,B--,0.4200
1.0000,2.0000,1.0000,X--,0.5300
1.0000,2.5000,1.0000,A--,0.6900
1.0000,2.5000,1.0000,B--,0.5300
1.0000,2.5000,1.0000,X--,0.6000
1.0000,3.0000,1.0000,A--,0.6200
1.0000,3.0000,1.0000,B--,0.4800
1.0000,3.0000,1.0000,X--,0.5300
1.0000,3.5000,1.0000,A--,0.5700
1.0000,3.5000,1.0000,B--,0.3200
1.0000,3.5000,1.0000,X--,0.3700
1.0000,4.0000,1.0000,A--,0.3800
1.0000,4.0000,1.0000,B--,0.1500
1.0000,4.0000,1.0000,X--,0.2700
1.0000,4.5000,1.0000,A--,0.2700
1.0000,4.5000,1.0000,B--,0.0800
1.0000,4.5000,1.0000,X--,0.1400
1.0000,5.0000,1.0000,A--,0.0800
1.0000,5.0000,1.0000,B--,0.0500
1.0000,5.0000,1.0000,X--,0.0400
1.0000,6.0000,1.0000,A--,0.0300
1.0000,6.0000,1.0000,B--,0.0000
1.0000,6.0000,1.0000,X--,0.0100
1.0000,6.5000,1.0000,A--,0.0100
1.0000,6.5000,1.0000,B--,0.0000
1.0000,6.5000,1.0000,X--,0.0100
1.0000,0.5000,1.0000,A--,0.5800
1.0000,0.5000,1.0000,B--,0.4400
1.0000,0.5000,1.0000,X--,0.4500
1.0000,1.0000,1.0000,A--,0.5900
1.0000,1.0000,1.0000,B--,0.4700
1.0000,1.0000,1.0000,X--,0.4500
1.0000,1.5000,1.0000,A--,0.6000
1.0000,1.5000,1.0000,B--,0.4800
1.0000,1.5000,1.0000,X--,0.4500
1.0000,2.0000,1.0000,A--,0.6700
1.0000,2.0000,1.0000,B--,0.4300
1.0000,2.0000,1.0000,X--,0.5200
1.0000,2.5000,1.0000,A--,0.6200
1.0000,2.5000,1.0000,B--,0.3800
1.0000,2.5000,1.0000,X--,0.5200
1.0000,3.0000,1.0000,A--,0.6000
1.0000,3.0000,1.0000,B--,0.4500
1.0000,3.0000,1.0000,X--,0.5000
1.0000,3.5000,1.0000,A--,0.5500
1.0000,3.5000,1.0000,B--,0.3100
1.0000,3.5000,1.0000,X--,0.3600
1.0000,4.0000,1.0000,A--,0.3800
1.0000,4.0000,1.0000,B--,0.2800
1.0000,4.0000,1.0000,X--,0.2700
1.0000,4.5000,1.0000,A--,0.1800
1.0000,4.5000,1.0000,B--,0.1100
1.0000,4.5000,1.0000,X--,0.1500
1.0000,5.0000,1.0000,A--,0.0500
1.0000,5.0000,1.0000,B--,0.0300
1.0000,5.0000,1.0000,X--,0.0400
1.0000,6.0000,1.0000,A--,0.0100
1.0000,6.0000,1.0000,B--,0.0200
1.0000,6.0000,1.0000,X--,0.0100
1.0000,6.5000,1.0000,A--,0.0100
1.0000,6.5000,1.0000,B--,0.0000
1.0000,6.5000,1.0000,X--,0.0100
1.0000,0.5000,1.0000,A--,0.6700
1.0000,0.5000,1.0000,B--,0.5000
1.0000,0.5000,1.0000,X--,0.5900
1.0000,1.0000,1.0000,A--,0.6100
1.0000,1.0000,1.0000,B--,0.4800
1.0000,1.0000,1.0000,X--,0.5000
1.0000,1.5000,1.0000,A--,0.6300
1.0000,1.5000,1.0000,B--,0.4700
1.0000,1.5000,1.0000,X--,0.5000
1.0000,2.0000,1.0000,A--,0.5600
1.0000,2.0000,1.0000,B--,0.4700
1.0000,2.0000,1.0000,X--,0.5300
1.0000,2.5000,1.0000,A--,0.6100
1.0000,2.5000,1.0000,B--,0.5600
1.0000,2.5000,1.0000,X--,0.5000
1.0000,3.0000,1.0000,A--,0.6700
1.0000,3.0000,1.0000,B--,0.5200
1.0000,3.0000,1.0000,X--,0.5100
1.0000,3.5000,1.0000,A--,0.5900
1.0000,3.5000,1.0000,B--,0.3800
1.0000,3.5000,1.0000,X--,0.3500
1.0000,4.0000,1.0000,A--,0.3600
1.0000,4.0000,1.0000,B--,0.2100
1.0000,4.0000,1.0000,X--,0.2300
1.0000,4.5000,1.0000,A--,0.1000
1.0000,4.5000,1.0000,B--,0.0600
1.0000,4.5000,1.0000,X--,0.1000
1.0000,5.0000,1.0000,A--,0.0600
1.0000,5.0000,1.0000,B--,0.0400
1.0000,5.0000,1.0000,X--,0.0500
1.0000,6.0000,1.0000,A--,0.0000
1.0000,6.0000,1.0000,B--,0.0200
1.0000,6.0000,1.0000,X--,0.0000
1.0000,6.5000,1.0000,A--,0.0000
1.0000,6.5000,1.0000,B--,0.0000
1.0000,6.5000,1.0000,X--,0.0000
